date,mortgage_rate_30yr,case_shiller_home_price_index,cpi_rent_primary_residence,housing_starts_thousands
2018-01-01,,196.082,314.531,1299.0
2018-01-04,3.95,,,
2018-01-11,3.99,,,
2018-01-18,4.04,,,
2018-01-25,4.15,,,
2018-02-01,4.22,196.874,315.162,1277.0
2018-02-08,4.32,,,
2018-02-15,4.38,,,
2018-02-22,4.4,,,
2018-03-01,4.43,198.54,315.885,1318.0
2018-03-08,4.46,,,
2018-03-15,4.44,,,
2018-03-22,4.45,,,
2018-03-29,4.44,,,
2018-04-01,,200.579,316.96,1276.0
2018-04-05,4.4,,,
2018-04-12,4.42,,,
2018-04-19,4.47,,,
2018-04-26,4.58,,,
2018-05-01,,202.415,317.766,1357.0
2018-05-03,4.55,,,
2018-05-10,4.55,,,
2018-05-17,4.61,,,
2018-05-24,4.66,,,
2018-05-31,4.56,,,
2018-06-01,,204.008,318.607,1192.0
2018-06-07,4.54,,,
2018-06-14,4.62,,,
2018-06-21,4.57,,,
2018-06-28,4.55,,,
2018-07-01,,204.917,319.642,1208.0
2018-07-05,4.52,,,
2018-07-12,4.53,,,
2018-07-19,4.52,,,
2018-07-26,4.54,,,
2018-08-01,,205.295,320.86,1288.0
2018-08-02,4.6,,,
2018-08-09,4.59,,,
2018-08-16,4.53,,,
2018-08-23,4.51,,,
2018-08-30,4.52,,,
2018-09-01,,205.342,321.563,1250.0
2018-09-06,4.54,,,
2018-09-13,4.6,,,
2018-09-20,4.65,,,
2018-09-27,4.72,,,
2018-10-01,,205.339,322.447,1221.0
2018-10-04,4.71,,,
2018-10-11,4.9,,,
2018-10-18,4.85,,,
2018-10-25,4.86,,,
2018-11-01,4.83,205.077,323.633,1181.0
2018-11-08,4.94,,,
2018-11-15,4.94,,,
2018-11-21,4.81,,,
2018-11-29,4.81,,,
2018-12-01,,204.667,324.408,1095.0
2018-12-06,4.75,,,
2018-12-13,4.63,,,
2018-12-20,4.62,,,
2018-12-27,4.55,,,
2019-01-01,,204.169,325.314,1226.0
2019-01-03,4.51,,,
2019-01-10,4.45,,,
2019-01-17,4.45,,,
2019-01-24,4.45,,,
2019-01-31,4.46,,,
2019-02-01,,204.394,326.22,1121.0
2019-02-07,4.41,,,
2019-02-14,4.37,,,
2019-02-21,4.35,,,
2019-02-28,4.35,,,
2019-03-01,,205.74,327.539,1191.0
2019-03-07,4.41,,,
2019-03-14,4.31,,,
2019-03-21,4.28,,,
2019-03-28,4.06,,,
2019-04-01,,207.652,328.816,1272.0
2019-04-04,4.08,,,
2019-04-11,4.12,,,
2019-04-18,4.17,,,
2019-04-25,4.2,,,
2019-05-01,,209.314,329.617,1293.0
2019-05-02,4.14,,,
2019-05-09,4.1,,,
2019-05-16,4.07,,,
2019-05-23,4.06,,,
2019-05-30,3.99,,,
2019-06-01,,210.549,330.919,1243.0
2019-06-06,3.82,,,
2019-06-13,3.82,,,
2019-06-20,3.84,,,
2019-06-27,3.73,,,
2019-07-01,,211.3,331.935,1240.0
2019-07-03,3.75,,,
2019-07-11,3.75,,,
2019-07-18,3.81,,,
2019-07-25,3.75,,,
2019-08-01,3.75,211.659,332.781,1375.0
2019-08-08,3.6,,,
